year,zone_name,population,growth_rate_pct
2017,White Oak Bayou,228242,2.5
2017,Addicks Reservoir,161520,3.5
2017,Barker Reservoir,143574,3.5
2017,Hunting Bayou,121729,2.5
2017,Meyerland,53256,2.5
2017,East Houston,83689,2.5
2017,Greenspoint,68472,2.5
2018,Brays Bayou,280738,2.5
2018,Buffalo Bayou,202755,2.5
2018,White Oak Bayou,233948,2.5
2018,Addicks Reservoir,167174,3.5
2018,Barker Reservoir,148599,3.5
2018,Hunting Bayou,124772,2.5
2018,Meyerland,54588,2.5
2018,East Houston,85781,2.5
2018,Greenspoint,70184,2.5
2019,Brays Bayou,287757,2.5
2019,Buffalo Bayou,207824,2.5
2019,White Oak Bayou,239797,2.5
2019,Addicks Reservoir,173025,3.5
2019,Barker Reservoir,153800,3.5
2019,Hunting Bayou,127892,2.5
2019,Meyerland,55952,2.5
2019,East Houston,87925,2.5
2019,Greenspoint,71939,2.5
2020,Brays Bayou,294950,2.5
2020,Buffalo Bayou,213020,2.5
2020,White Oak Bayou,245792,2.5
2020,Addicks Reservoir,179080,3.5
2020,Barker Reservoir,159183,3.5
2020,Hunting Bayou,131089,2.5
2020,Meyerland,57351,2.5
2020,East Houston,90123,2.5
2020,Greenspoint,73737,2.5
2021,Brays Bayou,302324,2.5
2021,Buffalo Bayou,218345,2.5
2021,White Oak Bayou,251937,2.5
2021,Addicks Reservoir,185348,3.5
2021,Barker Reservoir,164754,3.5
2021,Hunting Bayou,134366,2.5
2021,Meyerland,58785,2.5
2021,East Houston,92377,2.5
2021,Greenspoint,75581,2.5
2022,Brays Bayou,309882,2.5
2022,Buffalo Bayou,223804,2.5
2022,White Oak Bayou,258235,2.5
2022,Addicks Reservoir,191836,3.5
2022,Barker Reservoir,170520,3.5
2022,Hunting Bayou,137725,2.5
2022,Meyerland,60254,2.5
2022,East Houston,94686,2.5
2022,Greenspoint,77470,2.5
2023,Brays Bayou,317629,2.5
2023,Buffalo Bayou,229399,2.5
2023,White Oak Bayou,264691,2.5
2023,Addicks Reservoir,198550,3.5
2023,Barker Reservoir,176489,3.5
2023,Hunting Bayou,141168,2.5
2023,Meyerland,61761,2.5
2023,East Houston,97053,2.5
2023,Greenspoint,79407,2.5
2024,Brays Bayou,325570,2.5
2024,Buffalo Bayou,235134,2.5
2024,White Oak Bayou,271308,2.5
2024,Addicks Reservoir,205499,3.5
2024,Barker Reservoir,182666,3.5
2024,Hunting Bayou,144698,2.5
2024,Meyerland,63305,2.5
2024,East Houston,99479,2.5
2024,Greenspoint,81392,2.5
2025,Brays Bayou,333709,2.5
2025,Buffalo Bayou,241012,2.5
2025,White Oak Bayou,278091,2.5
2025,Addicks Reservoir,212692,3.5
2025,Barker Reservoir,189059,3.5
2025,Hunting Bayou,148315,2.5
2025,Meyerland,64888,2.5
2025,East Houston,101966,2.5
2025,Greenspoint,83427,2.5
